source,target,length,time,costing
891e0363687ffff,891e0378d8bffff,6.453,452.538,auto
891e0379d83ffff,891e037aa0bffff,8.79,670.64,auto
891e037334bffff,891e0371213ffff,5.967,504.47,auto
891e0379abbffff,891e0379aabffff,0.328,43.531,auto
891e0344b33ffff,891e037a397ffff,9.195,734.266,auto
891e03634d7ffff,891e037a84bffff,8.02,651.914,auto
891e0371a8bffff,891e03713abffff,4.413,398.37,auto
891e0361077ffff,891e037882bffff,8.789,621.894,auto
891e03612b3ffff,891e037aa67ffff,13.313,964.679,auto
891e0378847ffff,891e037135bffff,13.986,879.707,auto
891e03782abffff,891e0378523ffff,6.837,537.807,auto
891e037848bffff,891e037a363ffff,4.215,456.003,auto
891e03783b3ffff,891e03798a7ffff,5.798,415.424,auto
891e0361413ffff,891e0378da3ffff,4.012,318.321,auto
891e037a62fffff,891e037a297ffff,0.827,136.06,auto
891e03601b3ffff,891e0378547ffff,33.63,1769.687,auto
891e03635abffff,891e0371b4bffff,4.007,373.704,auto
891e0378b37ffff,891e037aa4fffff,9.737,735.162,auto
891e0345927ffff,891e037a6afffff,2.071,178.341,auto
891e0378557ffff,891e03781cbffff,2.629,238.221,auto
891e0378597ffff,891e0378557ffff,2.267,181.009,auto
891e036a573ffff,891e036a57bffff,0.644,104.468,auto
891e0378bb7ffff,891e0378ecfffff,8.781,562.365,auto
891e037a85bffff,891e037a393ffff,5.565,503.328,auto
891e036a51bffff,891e037ae6bffff,12.202,917.81,auto
891e0378543ffff,891e0378193ffff,2.266,214.152,auto
891e0378edbffff,891e0378ed3ffff,0.694,80.548,auto
891e036165bffff,891e03610abffff,7.355,615.146,auto
891e037a143ffff,891e037ac2bffff,6.354,474.334,auto
891e0371aa7ffff,891e037aab7ffff,10.249,682.498,auto
891e037a2afffff,891e037a2b7ffff,2.181,255.963,auto
891e037a8abffff,891e037aa63ffff,8.444,718.396,auto
891e036000fffff,891e036015bffff,1.833,173.112,auto
891e037ac6fffff,891e037a903ffff,4.607,357.655,auto
891e0371487ffff,891e037ae47ffff,11.284,774.442,auto
891e0379877ffff,891e03783a7ffff,7.695,558.262,auto
891e037a8b3ffff,891e037ae4fffff,7.933,578.726,auto
891e03636d7ffff,891e037abcbffff,3.707,313.687,auto
891e0371e0fffff,891e037ab8fffff,7.5,501.766,auto
891e037abc3ffff,891e037148fffff,14.001,905.551,auto
891e03786afffff,891e03780c7ffff,2.285,237.084,auto
891e03636afffff,891e037aa63ffff,8.093,644.467,auto
891e0371003ffff,891e037aa93ffff,9.977,721.206,auto
891e0371a8bffff,891e0371873ffff,3.045,275.108,auto
891e036a46bffff,891e037ae37ffff,13.717,1138.259,auto
891e037166bffff,891e03712d3ffff,0.596,96.139,auto
891e0361043ffff,891e036102bffff,1.999,208.254,auto
891e0344a47ffff,891e0344a0bffff,0.775,79.826,auto
891e0361643ffff,891e036a1a7ffff,4.527,336.743,auto
891e037a8bbffff,891e0378103ffff,10.996,873.046,auto
891e037a39bffff,891e03780b7ffff,5.314,457.715,auto
891e037ac0fffff,891e0378c47ffff,10.997,723.31,auto
891e0360cc3ffff,891e036011bffff,2.765,243.331,auto
891e0379c3bffff,891e0378133ffff,7.998,683.897,auto
891e036a617ffff,891e036b593ffff,3.119,322.204,auto
891e0360e83ffff,891e03604c3ffff,8.658,648.613,auto
891e03630d3ffff,891e036a3d3ffff,17.212,1062.997,auto
891e036a04fffff,891e0378d5bffff,12.494,943.898,auto
891e036a06fffff,891e0378c03ffff,12.071,785.571,auto
891e0371b4fffff,891e037aec7ffff,16.831,1050.789,auto
891e03798b7ffff,891e0378157ffff,8.235,633.305,auto
891e0378387ffff,891e0379cb7ffff,3.073,321.066,auto
891e0378c53ffff,891e0378c8bffff,1.538,166.694,auto
891e037136bffff,891e037a8d3ffff,3.993,317.621,auto
891e037aa2fffff,891e037a13bffff,7.235,602.719,auto
891e037ad77ffff,891e0378d7bffff,10.467,661.01,auto
