source,target,length,time,costing
891e0363687ffff,891e0378d8bffff,3.748,2870.714,pedestrian
891e0379d83ffff,891e037aa0bffff,6.095,4730.186,pedestrian
891e037334bffff,891e0371213ffff,5.636,4264.441,pedestrian
891e0379abbffff,891e0379aabffff,0.445,361.169,pedestrian
891e0344b33ffff,891e037a397ffff,8.25,6987.872,pedestrian
891e03634d7ffff,891e037a84bffff,6.652,5230.432,pedestrian
891e0371a8bffff,891e03713abffff,4.338,3357.985,pedestrian
891e0361077ffff,891e037882bffff,7.383,5601.457,pedestrian
891e03612b3ffff,891e037aa67ffff,10.582,8134.177,pedestrian
891e0378847ffff,891e037135bffff,12.466,9554.495,pedestrian
891e03782abffff,891e0378523ffff,5.777,4756.162,pedestrian
891e037848bffff,891e037a363ffff,2.58,2310.588,pedestrian
891e03783b3ffff,891e03798a7ffff,5.138,3936.561,pedestrian
891e0361413ffff,891e0378da3ffff,4.06,3096.547,pedestrian
891e037a62fffff,891e037a297ffff,0.827,782.706,pedestrian
891e03601b3ffff,891e0378547ffff,21.793,16648.058,pedestrian
891e03635abffff,891e0371b4bffff,3.992,2922.251,pedestrian
891e0378b37ffff,891e037aa4fffff,8.571,6649.48,pedestrian
891e0345927ffff,891e037a6afffff,2.078,1837.441,pedestrian
891e0378557ffff,891e03781cbffff,2.269,1760.664,pedestrian
891e0378597ffff,891e0378557ffff,2.046,1710.922,pedestrian
891e036a573ffff,891e036a57bffff,0.644,484.442,pedestrian
891e0378bb7ffff,891e0378ecfffff,8.19,6126.26,pedestrian
891e037a85bffff,891e037a393ffff,5.7,5041.8,pedestrian
891e036a51bffff,891e037ae6bffff,11.475,8905.989,pedestrian
891e0378543ffff,891e0378193ffff,2.035,1673.245,pedestrian
891e0378edbffff,891e0378ed3ffff,0.461,344.016,pedestrian
891e036165bffff,891e03610abffff,5.72,4326.706,pedestrian
891e037a143ffff,891e037ac2bffff,5.675,4614.628,pedestrian
891e0371aa7ffff,891e037aab7ffff,7.634,5901.814,pedestrian
891e037a2afffff,891e037a2b7ffff,1.491,1165.55,pedestrian
891e037a8abffff,891e037aa63ffff,4.569,3635.446,pedestrian
891e036000fffff,891e036015bffff,1.865,1436.476,pedestrian
891e037ac6fffff,891e037a903ffff,4.365,3360.614,pedestrian
891e0371487ffff,891e037ae47ffff,10.473,8036.324,pedestrian
891e0379877ffff,891e03783a7ffff,5.961,4741.7,pedestrian
891e037a8b3ffff,891e037ae4fffff,5.522,4303.806,pedestrian
891e03636d7ffff,891e037abcbffff,3.551,2768.37,pedestrian
891e0371e0fffff,891e037ab8fffff,7.083,5376.989,pedestrian
891e037abc3ffff,891e037148fffff,13.184,10225.092,pedestrian
891e03786afffff,891e03780c7ffff,1.411,1322.257,pedestrian
891e03636afffff,891e037aa63ffff,6.846,5285.924,pedestrian
891e0371003ffff,891e037aa93ffff,8.843,6878.247,pedestrian
891e0371a8bffff,891e0371873ffff,2.522,2036.848,pedestrian
891e036a46bffff,891e037ae37ffff,13.581,10536.385,pedestrian
891e037166bffff,891e03712d3ffff,0.596,443.971,pedestrian
891e0361043ffff,891e036102bffff,1.955,1472.501,pedestrian
891e0344a47ffff,891e0344a0bffff,0.385,382.408,pedestrian
891e0361643ffff,891e036a1a7ffff,4.53,3540.388,pedestrian
891e037a8bbffff,891e0378103ffff,7.364,5815.993,pedestrian
891e037a39bffff,891e03780b7ffff,5.309,4315.979,pedestrian
891e037ac0fffff,891e0378c47ffff,7.97,6279.961,pedestrian
891e0360cc3ffff,891e036011bffff,2.434,1885.402,pedestrian
891e0379c3bffff,891e0378133ffff,6.723,5455.369,pedestrian
891e036a617ffff,891e036b593ffff,2.961,2225.009,pedestrian
891e0360e83ffff,891e03604c3ffff,8.281,6309.295,pedestrian
891e03630d3ffff,891e036a3d3ffff,15.761,11913.02,pedestrian
891e036a04fffff,891e0378d5bffff,10.975,8390.042,pedestrian
891e036a06fffff,891e0378c03ffff,10.573,7922.986,pedestrian
891e0371b4fffff,891e037aec7ffff,11.493,8801.536,pedestrian
891e03798b7ffff,891e0378157ffff,5.593,4382.045,pedestrian
891e0378387ffff,891e0379cb7ffff,2.583,2060.942,pedestrian
891e0378c53ffff,891e0378c8bffff,1.303,1107.492,pedestrian
891e037136bffff,891e037a8d3ffff,2.848,2272.357,pedestrian
891e037aa2fffff,891e037a13bffff,6.278,4985.659,pedestrian
891e037ad77ffff,891e0378d7bffff,7.768,5941.468,pedestrian
891e037aaa7ffff,891e037aa8fffff,1.496,1177.648,pedestrian
891e0371c13ffff,891e0378893ffff,14.199,10848.586,pedestrian
891e037aa0bffff,891e0378a7bffff,7.46,5768.666,pedestrian
891e0378c8bffff,891e03783a3ffff,4.353,3343.375,pedestrian
891e037026bffff,891e037028fffff,2.209,1756.418,pedestrian
891e03798c7ffff,891e037ae63ffff,11.913,9433.616,pedestrian
891e036347bffff,891e0371ab3ffff,5.156,3903.828,pedestrian
891e03710cfffff,891e0371203ffff,2.436,1883.997,pedestrian
891e0361453ffff,891e0361883ffff,12.172,9079.596,pedestrian
891e03600cfffff,891e0378823ffff,13.301,10071.002,pedestrian
891e03714bbffff,891e037ae43ffff,10.234,7798.714,pedestrian
891e0378c8fffff,891e037a18fffff,8.442,6653.648,pedestrian
891e037896bffff,891e0378d4bffff,3.777,2889.616,pedestrian
891e03783dbffff,891e0378c4fffff,6.17,4770.656,pedestrian
891e03616a3ffff,891e0378a27ffff,6.439,4904.689,pedestrian
891e037829bffff,891e0378c13ffff,9.087,7113.268,pedestrian
891e03600cfffff,891e037a907ffff,11.473,8519.803,pedestrian
891e036a887ffff,891e0378edbffff,16.716,12481.482,pedestrian
891e0379d47ffff,891e0378c4fffff,6.339,4911.737,pedestrian
891e037a9d7ffff,891e03702c3ffff,9.741,7477.318,pedestrian
891e0378337ffff,891e037a91bffff,9.086,7119.873,pedestrian
891e037834bffff,891e037998fffff,11.919,9066.256,pedestrian
891e0378e53ffff,891e0378533ffff,5.555,4579.125,pedestrian
891e037890fffff,891e036144bffff,2.053,1572.904,pedestrian
891e037a8b3ffff,891e037ac77ffff,2.045,1604.0,pedestrian
891e03623c3ffff,891e03634afffff,6.997,5227.933,pedestrian
891e03784cfffff,891e037aeafffff,7.601,6429.279,pedestrian
891e037028fffff,891e0371e53ffff,5.929,4606.439,pedestrian
891e037acabffff,891e0371263ffff,3.029,2499.296,pedestrian
891e036a2b3ffff,891e0379987ffff,5.64,4265.72,pedestrian
891e037982fffff,891e0378ed3ffff,5.972,4566.273,pedestrian
891e0378c1bffff,891e03799bbffff,6.406,4920.599,pedestrian
891e0361427ffff,891e03614b3ffff,1.676,1289.44,pedestrian
891e1cb69d3ffff,891e037990bffff,10.651,7930.547,pedestrian
891e037a92fffff,891e037aa47ffff,6.443,5180.031,pedestrian
891e036355bffff,891e037a8cfffff,9.116,6897.436,pedestrian
891e037ab87ffff,891e037aacfffff,4.302,3505.008,pedestrian
891e036a0dbffff,891e037a84bffff,12.886,9909.737,pedestrian
891e037818bffff,891e0378e9bffff,2.519,2050.301,pedestrian
891e0378377ffff,891e0379cb7ffff,1.533,1181.473,pedestrian
891e036326fffff,891e036061bffff,6.176,4755.641,pedestrian
891e037a9cbffff,891e037a9cfffff,0.51,371.231,pedestrian
891e037aa47ffff,891e037121bffff,8.453,6622.501,pedestrian
891e0371a8bffff,891e0371e03ffff,2.352,1764.991,pedestrian
891e037ab8bffff,891e037aa33ffff,1.901,1563.464,pedestrian
891e0361483ffff,891e0363087ffff,5.699,4333.636,pedestrian
891e037a2bbffff,891e037aacfffff,7.019,5725.473,pedestrian
891e036a217ffff,891e036a28fffff,0.534,389.911,pedestrian
891e037a12fffff,891e03785afffff,3.399,2733.354,pedestrian
891e0378d3bffff,891e03781b7ffff,5.552,4336.659,pedestrian
891e036ac33ffff,891e037060fffff,27.543,20780.06,pedestrian
891e0378227ffff,891e037ac63ffff,10.661,8457.0,pedestrian
891e0371327ffff,891e0361887ffff,24.175,18292.72,pedestrian
